complex_name,province,land_price,complex_group
부산생곡지구일반산업단지,부산,565656,일반
부산성우일반산업단지,부산,646252,일반
부산센텀시티일반산업단지,부산,1110000,일반
부산신소재일반산업단지,부산,0,일반
부산신평장림일반산업단지(기존단지),부산,43000,일반
부산신항배후 국제산업물류도시(1단계)일반산업단지,부산,628874,일반
부산오리일반산업단지,부산,382827,일반
부산정관코리일반산업단지,부산,455855,일반
부산지사제2일반산업단지,부산,0,일반
부산풍상일반산업단지,부산,0,일반
부안신재생에너지 일반산업단지,전북,68833,일반
부천오정일반산업단지,경기,1415000,일반
북구검단일반산업단지,대구,15000,일반
북평국가산업단지,강원,82507,국가
뷰티풀파크,인천,794736,일반
빛그린국가산업단지,전남,230534,국가
사상재생사업지구,부산,0,일반
사천제1일반산업단지,경남,123670,일반
사천제2일반산업단지,경남,117770,일반
사천종포일반산업단지,경남,203000,일반
산청매촌일반산업단지,경남,136290,일반
산청매촌제2일반산업단지,경남,106300,일반
상복일반산업단지,경남,721073,일반
상주청리일반산업단지,경북,90750,일반
상주한방일반산업단지,경북,65380,일반
서김해일반산업단지,경남,719259,일반
서대구일반산업단지,대구,0,일반
서동일반산업단지,경북,0,일반
서산대산일반산업단지,충남,0,일반
서산대산제3일반산업단지,충남,0,일반
서산대죽일반산업단지,충남,0,일반
서산오토밸리일반산업단지,충남,160325,일반
서산인더스밸리일반산업단지,충남,160930,일반
서산테크노밸리일반산업단지,충남,181500,일반
서울디지털국가산업단지,서울,3328,국가
서울마곡일반산업단지,서울,3240000,일반
서울온수일반산업단지,서울,0,일반
서울우유일반산업단지,경기,0,국가
석문국가산업단지,충남,218277,일반
설성일반산업단지,경기,362998,일반
성남일반산업단지,경기,450000,일반
성서5차첨단산업단지,대구,403000,일반
성주월항일반산업단지,경북,42392,일반
성주일반산업단지,경북,117604,일반
성주제2일반산업단지,경북,162366,일반
세종명학일반산업단지,세종,361000,일반
세종미래일반산업단지,세종,284350,일반
세종부강일반산업단지,세종,81675,일반
세종소정일반산업단지,세종,76000,일반
세종월산일반산업단지,세종,111950,일반
세종전의일반산업단지,세종,78860,일반
세종전의제2일반산업단지,세종,200766,일반
세종조치원일반산업단지,세종,63060,일반
세종첨단일반산업단지,세종,300000,일반
송도지식정보일반산업단지,인천,312702,일반
순천일반산업단지,전남,90000,일반
순천해룡일반산업단지,전남,226875,일반
시화국가산업단지,경기,0,국가
시흥매화일반산업단지,경기,1210000,일반
신갈일반산업단지,경기,0,국가
신둔일반산업단지,경기,330000,일반
아산국가산업단지,경기,99351,일반
아산디지털일반산업단지,충남,346632,일반
아산운용일반산업단지,충남,250000,일반
아산인주일반산업단지,충남,100533,일반
아산제2테크노밸리일반산업단지,충남,293000,일반
아산탕정디스플레이시티1일반산업단지,충남,204000,일반
아산테크노밸리일반산업단지,충남,217800,일반
안산반월도금일반산업단지,경기,369000,일반
안성가율일반산업단지,경기,53890,일반
안성개정일반산업단지,경기,197815,일반
안성공도일반산업단지,경기,92560,일반
안성금산지방산업단지,충남,45000,일반
안성덕산일반산업단지,경기,70480,일반
안성동항일반산업단지,경기,66283,일반
안성동항제2일반산업단지,경기,358000,일반
안성마정일반산업단지,경기,0,일반
안성방초일반산업단지,경기,278920,일반
안성용월일반산업단지,경기,149000,일반
안성원곡일반산업단지,경기,82180,일반
안성월정일반산업단지,경기,330635,일반
안성장원일반산업단지,경기,77440,일반
안성장원제2일반산업단지,경기,310153,일반
안성제1일반산업단지,경기,21893,일반
안성제2일반산업단지,경기,105870,일반
안성제3일반산업단지,경기,115850,일반
안성제4일반산업단지,경기,301918,일반
안성지문일반산업단지,경기,0,국가
안정국가산업단지,경남,121000,일반
양산덕계일반산업단지,경남,408546,일반
양산산막일반산업단지,경남,0,일반
양산서창일반산업단지,경남,0,일반
양산석계2일반산업단지,경남,422590,일반
양산어곡일반산업단지,경남,197000,일반
양산용당일반산업단지,경남,0,일반
양산유산일반산업단지,경남,483000,일반
양산일반산업단지,경남,15000,일반
양주검준일반산업단지,경기,364568,일반
양주구암일반산업단지,경기,0,일반
양주남면일반산업단지,경기,263980,일반
양주도하일반산업단지,경기,107000,일반
