complex_name,food,clothing,wood,petrochemical,non_metal,metal,machinery,electronics,trans,other,non_manu,complex_group
정읍제3일반산업단지,0.186046512,0.023255814,0.093023256,0.372093023,0.069767442,0.046511628,0.11627907,0,0.023255814,0.046511628,0.023255814,일반
정읍첨단과학일반산업단지,0.104166667,0,0,0.416666667,0,0,0.1875,0.166666667,0.020833333,0,0.104166667,일반
정주일반산업단지,0,0,1,0,0,0,0,0,0,0,0,일반
제주용암해수일반산업단지,0.6875,0,0,0.3125,0,0,0,0,0,0,0,일반
제천일반산업단지,0.235294118,0,0,0,0,0,0,0.058823529,0.705882353,0,0,일반
제천제2산업단지,0,0,0.076923077,0.230769231,0,0,0,0.076923077,0.615384615,0,0,일반
제천제3산업단지,0.208333333,0,0,0.208333333,0.083333333,0,0.208333333,0.125,0.083333333,0,0.083333333,일반
증평2일반산업단지,0.264705882,0,0.088235294,0.294117647,0.029411765,0.029411765,0.147058824,0.029411765,0.088235294,0,0.029411765,일반
증평일반산업단지,0,0,0,0.111111111,0.111111111,0,0.111111111,0.555555556,0,0,0.111111111,일반
진주뿌리일반산업단지,0,0,0,0.0125,0,0.025,0.5125,0.025,0.2125,0.025,0.1875,일반
진주상평일반산업단지,0.030567686,0.061135371,0.028384279,0.043668122,0.028384279,0.015283843,0.633187773,0.017467249,0.058951965,0.015283843,0.06768559,일반
진주일반산업단지,0,0.011235955,0.02247191,0.02247191,0.011235955,0.011235955,0.595505618,0.056179775,0.179775281,0,0.08988764,일반
진주정촌일반산업단지,0,0,0,0,0,0.00877193,0.50877193,0.061403509,0.289473684,0,0.131578947,일반
진주지수일반산업단지,0,0,0,1,0,0,0,0,0,0,0,일반
진천문백정밀기계일반산업단지,0,0,0,0,0,0,0.25,0,0.75,0,0,일반
진천문백태흥일반산업단지,0,0,0,0,0,0,0.5,0,0.5,0,0,일반
진천산수일반산업단지,0.205882353,0,0.029411765,0.411764706,0.044117647,0.014705882,0.191176471,0.014705882,0.029411765,0,0.058823529,일반
진천신척일반산업단지,0.223300971,0,0.009708738,0.524271845,0,0.019417476,0.097087379,0.029126214,0.029126214,0,0.067961165,일반
진천이월일반산업단지,0,0,0,1,0,0,0,0,0,0,0,일반
진천죽현일반산업단지,0,0,0,1,0,0,0,0,0,0,0,일반
진천초평은암일반산업단지,0,0,0,0.416666667,0.166666667,0,0,0,0,0,0.416666667,일반
진천케이푸드밸리,0,0,0,0.333333333,0,0,0.666666667,0,0,0,0,일반
진해남양지방산업단지,0,0,0,0,0,0.071428571,0.619047619,0.095238095,0.166666667,0,0.047619048,일반
진해마천일반산업단지,0,0.020833333,0,0.041666667,0.03125,0.3125,0.385416667,0.010416667,0.09375,0,0.104166667,일반
진해죽곡일반산업단지,0,0,0,0,0,0,0.571428571,0,0.428571429,0,0,일반
창녕넥센일반산업단지,0,0,0,1,0,0,0,0,0,0,0,일반
창녕대합일반산업단지,0,0,0,0.019230769,0,0.153846154,0.365384615,0.057692308,0.384615385,0,0.019230769,일반
창녕억만일반산업단지,0,0,0,0,0,1,0,0,0,0,0,일반
창원수곡일반산업단지,0,0,0,0.090909091,0,0,0.545454545,0,0.363636364,0,0,일반
창원일반산업단지,0,0,0,0,0,0,0.666666667,0.156862745,0.176470588,0,0,일반
창원진전평암일반산업단지,1,0,0,0,0,0,0,0,0,0,0,일반
창원창곡일반산업단지,0,0,0,0,0.2,0,0.4,0.4,0,0,0,일반
창원천선일반산업단지,0,0,0,0,0,0,0.576923077,0.230769231,0.192307692,0,0,일반
천안마정일반산업단지,0,0.049180328,0.032786885,0.163934426,0.016393443,0,0.524590164,0.081967213,0.081967213,0,0.049180328,일반
천안산업기술일반산업단지,0.099099099,0,0.009009009,0.126126126,0.009009009,0,0.306306306,0.378378378,0.009009009,0.018018018,0.045045045,일반
천안제2일반산업단지,0.043902439,0.019512195,0.014634146,0.087804878,0,0.004878049,0.146341463,0.151219512,0.048780488,0.004878049,0.47804878,일반
천안제3일반산업단지,0,0.004048583,0,0.020242915,0,0,0.085020243,0.319838057,0,0,0.570850202,일반
천안제4일반산업단지,0,0,0,0,0,0,0.672,0.304,0,0,0.024,일반
천안제5일반산업단지,0.079365079,0,0,0.396825397,0,0.047619048,0.333333333,0.095238095,0.015873016,0,0.031746032,일반
천안풍세일반산업단지,0.05,0.008333333,0.008333333,0.291666667,0,0,0.375,0.183333333,0.016666667,0,0.066666667,일반
청산대전일반산업단지,0,0.689655172,0,0,0,0,0,0,0,0,0.310344828,일반
청원옥산일반산업단지,0,0.016949153,0.033898305,0.338983051,0,0.016949153,0.152542373,0.220338983,0.033898305,0,0.186440678,일반
청주오송제2생명과학일반산업단지(충북경제자유구역 오송바이오폴리스지구),0.157407407,0,0,0.287037037,0,0,0.12037037,0.203703704,0.009259259,0,0.222222222,일반
청주오창과학일반산업단지,0.077720207,0.005181347,0,0.227979275,0.031088083,0,0.082901554,0.424870466,0.015544041,0,0.134715026,일반
청주오창제2일반산업단지,0,0,0,0.125,0,0,0.125,0.75,0,0,0,일반
청주오창제3일반산업단지,0.09375,0,0.0625,0.53125,0,0,0.1875,0.0625,0,0,0.0625,일반
청주테크노폴리스일반산업단지,0,0.055555556,0,0.166666667,0,0,0.222222222,0.5,0,0,0.055555556,일반
청주현도일반산업단지,0.5,0,0.5,0,0,0,0,0,0,0,0,일반
춘천동춘천일반산업단지,0.24,0,0.04,0.24,0,0,0.2,0,0,0,0.28,일반
춘천전력IT문화복합일반산업단지,0,0,0,0,0,0,0.066666667,0.866666667,0,0,0.066666667,일반
춘천후평일반산업단지,0.093220339,0.025423729,0.031073446,0.115819209,0.008474576,0,0.048022599,0.062146893,0.008474576,0.031073446,0.576271186,일반
충주DH산업단지,0,0,0,0.333333333,0.666666667,0,0,0,0,0,0,일반
충주KGC예본일반산업단지,1,0,0,0,0,0,0,0,0,0,0,일반
충주대신일반산업단지,0,0,0,0,0,0,1,0,0,0,0,일반
충주만정일반산업단지,0,0,0,0,1,0,0,0,0,0,0,일반
충주메가폴리스일반산업단지,0.375,0.015625,0,0.125,0.015625,0,0.0625,0.171875,0.046875,0.03125,0.15625,일반
충주제1일반산업단지,0.105263158,0,0.052631579,0.157894737,0.078947368,0.026315789,0.210526316,0.210526316,0.026315789,0.026315789,0.105263158,일반
충주제3일반산업단지,0,0.111111111,0,0,0,0.222222222,0.444444444,0,0,0,0.222222222,일반
충주제4일반산업단지,0,0,0,0.25,0.25,0,0.25,0,0,0,0.25,일반
충주제5일반산업단지,0.444444444,0,0,0.111111111,0,0,0.222222222,0,0,0,0.222222222,일반
충주중원일반산업단지,0.09375,0,0,0.5625,0,0.03125,0.09375,0,0,0,0.21875,일반
