complex_name,complex_group,airport_name,airport_distance,seaport_name,seaport_distance,highway_name,highway_distance,station_name,station_distance
양주남면일반산업단지,일반,대구국제공항,82,탄도항,216,남경주IC,5.8,평택지제역 (고속철도),24
양주도하일반산업단지,일반,김포국제공항,42,소래포구,62,송추IC,13,동탄역 (고속철도),42
양주상수일반산업단지,일반,청주국제공항,37,탄도항,97,대소IC,7.1,평택지제역 (고속철도),18
양주홍죽일반산업단지,일반,울산공항,32,대변항,19,장안IC,6.4,상봉역 (고속철도),57
에스폼산업단지,일반,사천공항,75,여수신항,7.3,동순천IC,8.6,물금역 (고속철도),15
여수오천일반산업단지,일반,사천공항,68,와온항,11,동순천IC,17,진주역 (고속철도),49
여수율촌제1일반산업단지,일반,원주공항,41,탄도항,116,여주IC,10,진영역 (고속철도),2.4
여주강천일반산업단지,일반,원주공항,49,탄도항,110,여주IC,3.8,진영역 (고속철도),4.7
여주삼교일반산업단지,일반,원주공항,55,탄도항,115,여주IC,9.7,서울역 (고속철도),67
여주장안일반산업단지,일반,김포국제공항,73,전류리포구,69,양주IC,33,서울역 (고속철도),41
연천백학일반산업단지,일반,김포국제공항,73,전류리포구,70,양주IC,34,행신역 (고속철도),28
연천백학통구일반산업단지,일반,김포국제공항,67,고랑포구,3.8,양주IC,30,진주역 (고속철도),2.8
연천장남일반산업단지,일반,광주공항,40,도리포,35,일로IC,12,평택지제역 (고속철도),19
영광대마일반산업단지,일반,청주국제공항,81,탄도항,195,영동IC,4,진주역 (고속철도),34
영동일반산업단지,일반,무안국제공항,39,목포항,13,동광주IC,42,천안아산역 (고속철도),54
영암삼호일반산업단지,일반,원주공항,105,탄도항,209,왜관IC,7.9,울산역 (고속철도),41
영주SK스페셜티일반산업단지,일반,청주국제공항,112,탄도항,216,왜관IC,11,목포역 (고속철도),24
영주가흥일반산업단지,일반,원주공항,113,탄도항,216,남경주IC,10,순천역 (고속철도),15
영주갈산일반산업단지,일반,원주공항,115,탄도항,218,남경주IC,11,감곡장호원역 (고속철도),12
영주두전일반산업단지,일반,원주공항,116,탄도항,219,경산IC,3.4,김천(구미)역 (고속철도),28
영주일반산업단지,일반,김포국제공항국제선청사,67,탄도항,29,화성IC,11,대전역 (고속철도),49
영천일반산업단지,일반,원주공항,105,탄도항,209,왜관IC,7.9,포항역 (고속철도),13
예산신소재일반산업단지,일반,청주국제공항,88,안섬포구,38,고덕IC,6.4,경주역 (고속철도),42
예산예당일반산업단지,일반,청주국제공항,86,안섬포구,36,고덕IC,3.8,포항역 (고속철도),12
예산일반산업단지,일반,청주국제공항,83,안섬포구,56,예산수덕사IC,5.5,영주역 (고속철도),6.6
오산가장2일반산업단지,일반,김포국제공항국제선청사,65,탄도항,44,안녕IC,12,서대구역 (고속철도),19
