complex_name,complex_group,airport_name,airport_distance,seaport_name,seaport_distance,highway_name,highway_distance,station_name,station_distance
포항영일만3일반산업단지,일반,포항경주공항,44,영일만항,3,동영천IC,8.7,평택지제역 (고속철도),47
포항영일만4일반산업단지,일반,포항경주공항,45,영일만항,2.7,포항IC,17,여수EXPO역 (고속철도),5.1
포항영일만일반산업단지,일반,포항경주공항,43,영일만항,2.4,풍기IC,9.4,평택지제역 (고속철도),23
함안대산대사일반산업단지,일반,포항경주공항,42,영일만항,3.9,포항IC,18,평택지제역 (고속철도),15
함안법수강주일반산업단지,일반,사천공항,67,명동항,55,양산IC,15,오송역 (고속철도),27
함안법수우거일반산업단지,일반,사천공항,41,삼천포항,62,양산IC,7.1,논산역 (고속철도),13
함안사내일반산업단지,일반,사천공항,44,삼천포항,66,군북IC,2,서울역 (고속철도),34
함안일반산업단지,일반,김해국제공항,73,삼천포항,65,한림IC,3.9,원주역 (고속철도),56
함안장지일반산업단지,일반,사천공항,39,명동항,54,서함양IC,9.4,광명역 (고속철도),49
함양일반산업단지,일반,사천공항,40,삼천포항,61,진례IC,2.2,동대구역 (고속철도),45
함평동함평일반산업단지,일반,사천공항,67,탄도항,268,동창원IC,6.3,동탄역 (고속철도),5
홍성일반산업단지,일반,무안국제공항,18,도리포,30,서영암IC,22,광명역 (고속철도),43
홍천북방일반산업단지,일반,청주국제공항,112,안섬포구,63,홍성IC,7.1,수원역 (고속철도),31
화성 영진바이오 일반산업단지,일반,원주공항,34,탄도항,182,홍천IC,3.3,순천역 (고속철도),22
화성 팔탄(한미약품) 일반산업단지,일반,김포국제공항국제선청사,67,탄도항,27,조암IC,6,부산역 (고속철도),17
화성동탄일반산업단지,일반,김포국제공항국제선청사,68,탄도항,49,북오산IC,6,목포역 (고속철도),40
화성마도일반산업단지,일반,인천국제공항(일대),62,탄도항,18,마도IC,9.2,양평역 (고속철도),80
화성바이오밸리일반산업단지,일반,김포국제공항국제선청사,67,탄도항,29,화성IC,11,행신역 (고속철도),-
화성발안일반산업단지,일반,김포국제공항국제선청사,73,탄도항,39,청북IC,5.5,울산역 (고속철도),43
화성송산테크노파크일반산업단지,일반,인천국제공항(일대),62,탄도항,8.1,송산마도IC,6.9,진주역 (고속철도),53
화성일반산업단지,일반,김포국제공항국제선청사,77,탄도항,49,북오산IC,5.6,여수EXPO역 (고속철도),23
화성전곡해양일반산업단지,일반,인천국제공항(일대),64,전곡항,5,송산마도IC,9.1,광주송정역 (고속철도),7.7
화성정남일반산업단지,일반,김포국제공항국제선청사,61,탄도항,49,향남IC,5.9,울산역 (고속철도),41
화성주곡일반산업단지,일반,인천국제공항(일대),69,선창포구,4.4,조암IC,3.1,진주역 (고속철도),28
화성향남제약일반산업단지,일반,김포국제공항국제선청사,71,탄도항,37,발안IC,4.4,대전역 (고속철도),18
화성화남일반산업단지,일반,인천국제공항(일대),67,백미항,6.9,송산마도IC,13,서대구역 (고속철도),19
화순지방산업단지,일반,광주공항,28,탄도항,321,동순천IC,16,대전역 (고속철도),55
횡성우천일반산업단지,일반,원주공항,12,탄도항,161,새말IC,6.2,수원역 (고속철도),24
