complex_name,status,completion_date,avg_price,industry_type,management,land_size,complex_group,website_url
대구염색일반산업단지,분양완료,1988-07-31,15000,"섬유제품제조업, 연구개발업, 전문서비스업, 건축기술·엔지니어링 및 기타과학기술서비스업, 기타전문·과학 및 기술서비스업, 컴퓨터 프로그래밍·시스템 통합 및 관리업",대구염색산업단지관리공단,849684,일반,http://www.dyecen.or.kr/
대구이시아폴리스일반산업단지,분양완료,2016-05-30,564000,"패션어패럴산업, 미디어산업, 신성장 동력 및 전략적 육성산업, 첨단.IT 및 지식산업, 연구개발·정보통신관련산업",대구검단산업단지관리공단,1176261,일반,https://www.eum.go.kr/web/gs/gv/gvGosiDet.jsp?seq=556196
대구제3일반산업단지,분양완료,1968-12-31,600,"뿌리산업그린복합지구, IT·융합부품산업지구, 창조형전략산업육성지구, 안경·광학고도화지구, 기타첨단산업 등 * 유치업종상세내용 및 입주제한업종 고시문 참조",대구제3산업단지관리공단,1685003,일반,https://terms.naver.com/entry.naver?docId=6666831&cid=59464&categoryId=70619
대구출판산업단지,분양완료,2013-01-10,742677,"펄프· 종이 및 종이제품 제조업, 인쇄 및 기록매체 복제업, 출판업· 영상·오디오 기록물제작 및 배급업, 컴퓨터 프로그래밍· 시스템통합 및 관리업, 정보서비스업, 태양력발전업, 비주거용건물임대업, 간판 및 광고물 제조업,사무 및 회화용품 제조업, 광고업, 전문디자인업, 등",대구성서산업단지관리공단,242917,일반,https://namu.wiki/w/%EB%8C%80%EA%B5%AC%EC%B6%9C%ED%8C%90%EC%82%B0%EC%97%85%EB%8B%A8%EC%A7%80
대구테크노폴리스일반산업단지,분양중,-,224520,"바이오,섬유,정보·통신 SW,메카트로닉스,전기·전자,자동차관련제조,연구개발업등",연구개발특구진흥재단,7259403,일반,https://www.imaeil.com/page/view/2007122507330229152
대불국가산업단지,분양중,1997-08-28,151288,"기계,제강,철강,화학,석유,비금속광물,종이(제지),기타, 기타기계및전기변환장치(신재생에너지),1차금속(조선기자재), 음식료업종, 펄프 및 종이제품, 의약품제조업, 유리 및 유리제품제조업","한국산업단지공단, 전라남도",20851829,국가,https://terms.naver.com/entry.naver?docId=535005&cid=46631&categoryId=46631
대불외국인투자지역,분양완료,1997-08-28,0,"음식료업종, 펄프 및 종이제품, 의약품제조업, 유리 및 유리제품 등",한국산업단지공단,1614441,국가,https://law.go.kr/LSW/admRulInfoP.do?admRulSeq=2100000189338
대전 일반산업단지,분양중,1979-12-31,12000,"첨단산업정비·유도지구(음식료,섬유의복,목재종이,석유화학,철강금속,의료정밀,전기장비,기계,운송장비,기타제조,장비수리), 첨단산업유치지구(입주제한업종 외 업종) *유치업종 상세현황 및 입주제한업종 고시문 참조",대전산업단지협회,2317008,일반,https://blog.naver.com/ks78260/223458914703
대전하소친환경일반산업단지,분양완료,2011-08-17,303030,"재료,소재, 정밀기계,신공정, 전기,전자 및 정보, 자동차,농업 및 건설기계 제조업",전북_전주시,291050,일반,https://k114.co.kr/store/detail.asp?seq=BgNuCgJpAgd5
동고령일반산업단지,분양중,2020-03-19,0,"섬유제품,목재및나무제품,펄프·종이및종이제품,고무제품및플라스틱,비금속광물제품,금속가공제품,기타기계및장비,전기장비,자동차및트레일러 제조업, 창고및운송관련서비스업",동고령일반산업단지관리공단,748665,일반,https://www.idaegu.com/news/articleView.html?idxno=438491
동두천국가산업단지,분양계획,-,0,"식료품,섬유제품,의복·의복 액세서리 및 모피제품,가죽·가방 및 신발,화학물질 및 화학제품,의료용물질 및 의약품,1차금속,전자부품·컴퓨터·영상·음향 및 통신장비,의료·정밀·광학기기 및 시계,기타 기계 및 장비,자동차 및 트레일러,기타제품 제조업, 인쇄 및 기록매체 복제업",한국산업단지공단,266717,국가,https://www.ddc.go.kr/ddc/contents.do?key=2063
동두천상봉암일반산업단지,분양완료,1993-12-29,83069,"식료품,1차금속,전자부품·컴퓨터·영상·음향및통신장비,의료·정밀·광학기기및시계,기타제품 제조업",경기_동두천시,54522,일반,https://www.ddc.go.kr/ddc/contents.do?key=2040
동두천일반산업단지,분양완료,2000-06-09,145590,"섬유제품,가죽.가방 및 신발,전자부품·컴퓨터·영상·음향및통신장비,기타기계및장비 제조업, 인쇄 및 기록매체 복제업",경기_동두천시,262160,일반,https://www.uynews.net/5821
동두천제2일반산업단지,분양중,2010-01-25,288300,"섬유제품,가죽·가방및신발,펄프·종이및종이제품,화학물질및화학제품,전자부품·컴퓨터·영상·음향및통신장비,고무제품 및 플라스틱, 비금속광물, 1차금속,금속가공제품,의료·정밀·광학기기및시계,전기장비,기타기계및장비 제조업",경기_동두천시,186229,일반,https://gnews.gg.go.kr/news/news_detail.do?number=201211141559404854C048
마산진북일반산업단지,분양중,2017-04-27,267269,"고무및플라스틱,제1차금속,금속가공,기타기계및장비,전자부품·영상·음향및통신장비,전기장비,목재및나무,자동차및트레일러 제조업, 인쇄및기록매체업및복제업,출판업, 폐기물수집운반·처리및원료재생업 ,연구개발업,태양력발전업(공장부지안의 지붕)",경남_창원시,874889,일반,https://terms.naver.com/entry.naver?docId=2638626&cid=51943&categoryId=54887
명계3일반산업단지,분양계획,-,0,"1차금속 제조업, 금속가공제품 제조업, 전자부품·컴퓨터·영상·음향 및 통신장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 창고 및 운송관련 서비스업",경북_경주시,822672,일반,https://wlswn5123.tistory.com/entry/%EB%AA%85%EA%B3%843%EC%9D%BC%EB%B0%98%EC%82%B0%EC%97%85%EB%8B%A8%EC%A7%80-%EA%B2%BD%EC%A3%BC-%EC%B5%9C%EC%A0%80-%EB%B6%84%EC%96%91%EA%B0%80-%EB%B0%94%EB%A1%9C-%EC%B0%A9%EA%B3%B5-%EA%B0%80%EB%8A%A5
명지녹산국가산업단지,분양완료,2008-08-29,184748,"일반산업(섬유, 의복, 석유, 화학, 조립금속 기계, 그외업종) 첨단산업(정밀요업, 정밀기계 및 메카트로닉스, 정보통신)","한국산업단지공단, 부산광역시",10513073,국가,https://blog.naver.com/okseung10/223547851471
목포대양일반산업단지,분양중,2017-04-27,259060,"(식료품,위생용종이제품,비금속광물제품,금속가공,전자부품·컴퓨터·영상·음향및통신장비,의료·정밀·광학기기및시계,전기장비,기타기계및장비,자동차및트레일러,기타운송장비)제조업, 전기·가스·증기 및 공기조절공급업, 육상운송 및 파이프라인 운송업 중 도로화물운송업, 소화물전문운송업, 창고 및 운송관련 서비스업, *유치 제한업종 고시문 참조",전남_목포시,1545007,일반,https://www.mokpo.go.kr/www/life_welfare/industry_economy/attract/general_estate
목포삽진일반산업단지,분양완료,2000-01-08,41849,"조선업,기계조립업(금속가공제품, 기타 기계 및 장비, 기타 운송장비)",전남_목포시,217451,일반,http://luris.molit.go.kr/web/FileDownload.do?isGosi=Y&file=%2F2021093%2Fwebcommon%2Fmapboard%2FWcBdMapForm.jsp%2F%B8%F1%C6%F7%BD%C3_%C1%A62021-161%C8%A3_%B0%ED%BD%C3.pdf
문경신기일반산업단지,분양완료,2009-12-23,118118,"화학물질 및 화학제품(복합비료 및 화학비료, 유기질비료 및 상토 제조업에 한함)금속가공제품, 전기장비 제조업, 태양에너지발전업(입주기업체 지붕에 한함), 부동산업(부동산임대업에 한함)",경북_문경시,126223,일반,https://www.gbmg.go.kr/portal/contents.do?mId=0601020100
문경신기제2일반산업단지,분양중,2016-01-21,117300,"식료품,섬유제품,의복·의복액세서리및모피제품,화학물질및화학제품,고무제품및플라스틱,비금속광물제품,금속가공,전자부품·컴퓨터·영상·음향 및 통신장비,의료·정밀·광학기기 및 시계,전기장비,기타기계및장비,자동차및트레일러,기타운송장비,기타제품 제조업, 태양에너지발전업(입주기업체 지붕에 한함), 부동산임대업",경북_문경시,439691,일반,https://andongmbc.co.kr/main/news/news_view.php?num=55355
밀양나노융합국가산업단지,분양중,-,446411,"식료품,화학물질및화학제품,의료용물질및의약품,비금속광물제품,1차금속,금속가공제품,전자부품·컴퓨터·영상·음향 및 통신장비,의료·정밀·광학기기및시계,전기장비,기타기계및장비,자동차및트레일러,기타운송장비 제조업",한국산업단지공단,1655692,국가,https://terms.naver.com/entry.naver?docId=6705707&cid=71761&categoryId=71839
밀양사포일반산업단지,분양중,2011-06-30,226090,"금속가공제품,기타기계 및 장비,전자부품·컴퓨터·영상·음향 및 통신장비,의료·정밀·광학기기 및 시계,자동차 및 트레일러 제조업, 태양력발전업(건축물 지붕 및 옥상에 설치하는경우에 한함)",경남_밀양시,745994,일반,https://www.busan.com/view/busan/view.php?code=20110421000226
밀양용전일반산업단지,분양완료,2017-10-31,0,"펄프.종이제품,코크스·연탄및석유정제품,고무제품및플라스틱,비금속광물제품,1차금속,금속가공제품,의료·정밀·광학기기 및 시계,전기장비,기타기계및장비,기타운송장비 제조업,연구개발업,폐기물수집운반,처리및원료재생업,창고및운송관련서비스업",경남_밀양시,634192,일반,http://www.gnmaeil.com/news/articleView.html?idxno=116174
밀양하남일반산업단지,분양완료,2019-01-24,0,"1차금속 제조업, 기타기계 및 장비제조업, 화학물질 및 화학제품 제조업, 비금속광물 제조업, 금속가공제품 제조업, 자동차 및 트레일러 제조업, 기타운송장비 제조업, 금속 및 비금속 원료재생업(비금속류 해체, 선별 및 원료재생업에 한정 함), 전기·가스·증기 및 공기조절 공급업(태양력발전업은 건축물 지붕, 옥상 및 노외 주차장 지붕에 한함)","경남_밀양시, 밀양하남일반산업단지관리공단",1020455,일반,http://www.gnmaeil.com/news/articleView.html?idxno=404988
반월국가산업단지,분양중,-,126500,"섬유,화학,조립금속,1차금속,인쇄,목재 등",한국산업단지공단,150064316,국가,https://ko.wikipedia.org/wiki/%EB%B0%98%EC%9B%94%EA%B5%AD%EA%B0%80%EC%82%B0%EC%97%85%EB%8B%A8%EC%A7%80
보령관창일반산업단지,분양완료,-,220000,"식료품,고무및플라스틱제품,제1차금속,금속가공제품,의료·정밀·광학기기및시계,전기장비,기타기계및장비,자동차 및 트레일러 제조업, 전기·가스·증기및공기조절공급업, 창고및운송관련서비스업, 연구개발업",충남_보령시,2442223,일반,https://terms.naver.com/entry.naver?docId=6694926&cid=71178&categoryId=71256
보은동부일반산업단지,분양완료,2014-07-25,88330,"식료품, 전자부품·컴퓨터·영상·음향· 통신장비, 기타기계 및 기계장비, 자동차 및 트레일러, 기타 운송장비 제조업",충북_보은군,688430,일반,http://www.eum.go.kr/web/gs/gv/gvGosiDet.jsp?seq=324218
보은일반산업단지,분양중,2020-09-25,99394,"식료품,음료,화학물질및화학제품,고무및플라스틱,비금속광물,전기장비,금속가공,전자부품·컴퓨터·영상·음향및통신장비,기타기계및장비 제조업, 전기·가스·증기 및공기조절공급업, 유치제한업종(고시문참조)",충청북도,1275136,일반,https://terms.naver.com/entry.naver?docId=6454592&cid=51726&categoryId=68274
부산강서보고일반산업단지,분양완료,2014-12-26,0,"섬유제품 제조업, 의료용물질 및 의약품 제조업, 1차금속제조업, 금속가공제품제조업, 전자부품컴퓨터영상음향및통신장비제조업, 전기장비제조업, 기타기계및장비제조업, 기타운송장비제조 외, 비주거용건물임대업",부산경제진흥원,103701,일반,https://terms.naver.com/entry.naver?docId=2824429&cid=55773&categoryId=55914
부산강서신호일반산업단지,분양완료,2007-01-26,296450,"자동차 및 트레일러 제조업,기계 및 장비제조업,조립금속제품 제조업,기타제조업종, 비주거용건물임대업",부산경제진흥원,3121132,일반,https://terms.naver.com/entry.naver?docId=2824436&cid=55773&categoryId=55914
부산강서화전일반산업단지,분양완료,2011-01-05,465850,"금속제조, 기타 기계 및 장비, 자동차 및 운송장비, 컴퓨터 및 사무용기기, 비주거용건물임대업",부산경제진흥원,2447767,일반,https://www.bsgangseo.go.kr/industry/contents.do?mId=0204000000
부산과학일반산업단지,분양중,2008-11-24,179860,"정보·통신, 신소재, 정밀화학, 메카트로닉스, 기타일반, 기계(소재), 기계부품, 조선기자재, 자동차, IT, 바이오, 실버업종 제조업, 비주거용건물임대업","한국산업단지공단, 부산진해경제자유구역청",1967010,일반,https://terms.naver.com/entry.naver?docId=2824430&cid=55773&categoryId=55914
부산미음일반산업단지,분양중,2016-12-27,541490,"메카트로닉스(제1차금속 제조업,금속가공제품 제조업 등), 일렉트로닉스(통신,전기장비 제조업 등), 정보서비스(컴퓨터프로그래밍,시스템통합 및 관리업,정보스비스업), 조선기자재, 자동차부품, 기계장비, 정밀화학, 전기·전자",부산진해경제자유구역청,3548873,일반,https://www.bsgangseo.go.kr/bsgangseo/contents.do?mId=0306010500
부산반룡일반산업단지,분양완료,2018-03-30,387214,"식료품(육류가공및저장,수산식물가공및저장,수산동물및저장처리업,과실·채소가공및저장 처리업, 떡·빵및과자류,기타식품,곡물가공품 제조업에 한함),음료(비알콜음료및얼음제조업에 한함),목재 및 나무제품,의료용물질및의약품(기초의약물질및생물학적제제 제조업에 한함),전자부품·컴퓨터·영상·음향및통신장비,전기장비,기타기계및장비,자동차및트레일러,기타운송장비,가구(목재가구제조업에 한함) 제조업, 창고및운송관련서비스업, 비주거용건물임매업 *자세한내용 고시문 참조",부산경제진흥원,546599,일반,https://blog.naver.com/blackfltmxm/221298002175
부산생곡지구일반산업단지,분양완료,2015-10-28,565656,"금속관련 원료재생업 및 제조업, 비금속관련 원료재생업 및 제조업, 메카트로닉스 관련 제조업",부산진해경제자유구역청,538550,일반,https://terms.naver.com/entry.naver?docId=2824433&cid=55773&categoryId=55914
부산성우일반산업단지,분양완료,2016-12-14,646252,"섬유제품,나무,종이,석유,화학,플라스틱,1차금속,금속가공,통신장비,의료,전기장비,자동차,운송장비,기타 제조업, 전기가스증기및공기조절공급업,창고및운송관련서비스업,비주거용건물임대업",부산경제진흥원,63453,일반,https://blog.naver.com/ydsmith/222447349045
부산센텀시티일반산업단지,분양완료,2007-06-13,1110000,지식산업 및 정보통신산업,부산경제진흥원,1178043,일반,https://terms.naver.com/entry.naver?docId=2824434&cid=55788&categoryId=56731
부산신소재일반산업단지,분양완료,2017-03-29,0,"전기장비 제조업, 자동차 및 트레일러 제조업, 의료·정밀·광학기기 및 시계 제조업, 기타기계 및 장비 제조업, 비주거용건물임대업",부산경제진흥원,255229,일반,https://www.eum.go.kr/web/gs/gv/gvGosiDet.jsp?seq=576061
부산신평장림일반산업단지(기존단지),분양완료,1990-06-30,43000,"기존단지(조립금속,기계장비,제1차금속,비금속,화학,섬유,목재,비주거용건물임대업 (*공해 및 폐수발생 업종 입주 불가)), 협업단지(기계, 염색, 표면처리, 수산물가공, 자동차부품)","신평장림산업단지관리공단, 한국산업단지공단",2815006,일반,https://terms.naver.com/entry.naver?docId=2824435&cid=55782&categoryId=56418
부산신항배후 국제산업물류도시(1단계)일반산업단지,분양중,-,628874,"복합산업(가죽·가방·신발,1차금속,금속가공,전기장비 등),메카트로닉스(기타기계및장비,자동차및트레일러 등),일렉트로닉스(통신장비,의료·정밀·광학기기 등),물류운송(창고및운송관련 서비스업 등), 정보서비스(컴퓨터그래밍, 시스템통합 및 관리업, 정보서비스업 등), 연구개발업, 비주거용건물임대업",부산진해경제자유구역청,5707591,일반,https://terms.naver.com/entry.naver?docId=2824431&cid=55773&categoryId=55914
부산오리일반산업단지,분양중,2020-03-11,382827,"식료품, 음료, 화학물질 및 화학제품, 1차금속, 금속가공제품, 의료·정밀·광학기기 및 시계, 전기장비, 기타기계 및 장비, 자동차 및 트레일러, 기타운송장비, 기타제품 제조업, 연구개발업, 건축기술·엔지니어링 및 과학기술서비스업, 비주거용건물임대업",부산경제진흥원,607852,일반,https://blog.naver.com/mini5866/223494280912
부산정관코리일반산업단지,분양완료,2013-04-17,455855,"1차 금속, 기타 기계 및 장비, 금속가공품, 전자부품·컴퓨터·영상음향 및 통신장비, 전기장비, 자동차 및 트레일러, 기타운송장비, 기타제품 제조업",부산경제진흥원,83981,일반,https://www.busan.go.kr/igosi/view?sno=68459&gosiGbn=N
부산지사제2일반산업단지,분양완료,2017-07-17,0,"금속가공제품, 기타 기계 및 장비, 섬유제품, 목재 및 나무제품,화학물질 및 화학제품 제조업, 창고 및 운송관련 서비스업, 전기·가스·증기 및 공기조절 공급업, 비주거용건물임대업",부산경제진흥원,99012,일반,https://blog.naver.com/aa0973/223447377886
부산풍상일반산업단지,분양완료,2016-12-28,0,"기계산업, 금속산업, 비금속산업, 비주거용건물임대업",부산경제진흥원,61284,일반,https://www.busan.go.kr/comm/getFile?srvcId=BBSTY3&upperNo=1610962&fileNo=1
부안신재생에너지 일반산업단지,분양중,2015-08-28,68833,"화합물질및화학제품, 기타기계및장비, 전기장비, 전자부품·컴퓨터·영상·음향및통신장비 제조업, 연구개발업, 신재생에너지 관련 연구소, 부동산임대업(산업용지 또는 공장 등 임대하는 경우에 한해서 허용)",전라북도,354437,일반,http://www.kdpress.co.kr/news/articleView.html?idxno=30400
부천오정일반산업단지,분양완료,2009-11-04,1415000,"조립금속, 기타 기계 및 장비 제조업",경기_부천시,290884,일반,https://www.bucheon.go.kr/site/homepage/menu/viewMenu?menuid=148006004015001
북구검단일반산업단지,분양완료,1975-12-31,15000,"1차금속,금속가공제품,자동차 및 트레일러, 기타운송장비, 전자부품·영상·음향 및 통신장비,기타기계 및 장비, 의료·정밀·광학기기 및 시계, 전기장비, 섬유제품 의복·의복액세서리 및 모피, 목재 및 나무제품, 펄프·종이 및 종이제품, 가구, 기타제품 제조업, 인쇄 및 기록매체 복제업",대구검단산업단지관리공단,781559,일반,https://terms.naver.com/entry.naver?docId=6666498&cid=59464&categoryId=70619
북평국가산업단지,분양완료,1995-09-27,82507,"전제조업(단, 도금, 염료, 안료, 피혁, 주물, 염색업종은 제외), 전기·가스·증기 및 공기조절 공급업",한국산업단지공단,4030000,국가,https://terms.naver.com/entry.naver?docId=577816&cid=46631&categoryId=46631
뷰티풀파크,분양중,2014-03-31,794736,"목재및나무제품,화학물질및화학제품,고무제품및플라스틱제품, 1차금속,금속가공제품,전자부품· 컴퓨터·영상·음향및통신장비,의료·정밀·광학기기및시계, 전기장비,기타기계및장비,가구,식료품 등 제조업",뷰티풀파크관리공단,2250719,일반,http://btfpark.com/
빛그린국가산업단지,분양중,-,230534,"광산업, 디지털정보가전, 자동차산업, 첨단부품소재, 연구개발, 물류산업",한국산업단지공단,4073833,국가,https://terms.naver.com/entry.naver?docId=6699459&cid=71265&categoryId=71427
사상재생사업지구,분양완료,1975-12-31,0,"식료품,섬유제품,의복·의복액세서리및모피제품,가죽·가방및신발,목재및나무제품,펄프·종이제품,코크스·연탄및석유정제품,화학물질및화학제품,고무제품및플라스틱,비금속광물제품,1차금속,금속가공제품,전자부품·컴퓨터·영상·음향및통신장비,의료·정밀·광학기기및시계,전기장비,기타기계및장비,자동차및트레일러,기타운송장비,가구,기타제품 제조업, 인쇄및기록매체복제업,육상파이프라인운송업,창고및운송관련서비스업, 태양력발전업, 부동산업, 금융업 (*상세내용 고시문참조)",부산광역시,3021000,일반,https://blog.naver.com/gyun0229/223475825176
사천제1일반산업단지,분양완료,2007-02-02,123670,"담배 제조업, 제1차금속 제조업 중 1차철강제조업, 전자부품·영상·음향 및 통신장비제조업,기타운송장비 제조업, 기타 측정·시험·항해·제어 및 정밀기기 제조업, 전기·가스·증기 및 공기조절공급업 중 태양력발전업, 부동산업 중 부동산임대업 *외국인투자지역 업종은 고시문 참조","경남_사천시, 한국산업단지공단",2545259,일반,https://www.sacheon.go.kr/economy/00259/00260.web
사천제2일반산업단지,분양완료,2014-02-17,117770,"항공, 수송기기, 전자, 전기 및 정보, 재료, 소재","경남_사천시, 한국산업단지공단",1616353,일반,https://www.sacheon.go.kr/economy/00259/00261.web
사천종포일반산업단지,분양완료,2019-08-22,203000,"금속가공제품 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 기타운송장비 제조업, 태양력발전업(건축물 옥상,지붕에 설치하는경우에 한함)",경남_사천시,367901,일반,https://www.sacheon.go.kr/economy/00259/03732.web
산청매촌일반산업단지,분양완료,2014-04-03,136290,"금속가공제품제조업(C25), 전기장비 제조업(C28), 기타기계 및 장비 제조업(C29), 전기·가스·증기 및 공기 조절 공급업 중 태양광발전업(건물 지붕 활용에 한함), 부동산임대업",경남_산청군,98199,일반,https://terms.naver.com/entry.naver?docId=6032386&cid=43667&categoryId=43667
산청매촌제2일반산업단지,분양완료,2011-04-13,106300,"고무 및 플라스틱제품 제조업(C22), 금속가공제품 제조업(C25), 기타 기계 및 장비 제조업(C29), 기타 운송장비 제조업(C31), 태양력 발전업(D35114, 건축물 및 주차장 시설의 옥외부분에 한정함)",경남_산청군,75245,일반,http://www.eum.go.kr/web/ac/DownloadBig.jsp?isGosi=Y&filename=%BB%EA%C3%BB%B1%BA%B0%ED%BD%C3%C1%A62009-34%C8%A3.pdf&filepath=%2F2019%2F12%2F31%2F277000%2F277376
상복일반산업단지,분양중,2021-10-15,721073,"금속가공제품, 전기장비, 기타기계 및 장비, 자동차 및 트레일러, 기타운송장비 제조업",경남_창원시,116082,일반,http://www.gndomin.com/news/articleView.html?idxno=54167
상주청리일반산업단지,분양중,2009-12-29,90750,"화학물질 및 화학제품제조업(의약품제외), 고무제품 및 플라스틱제품 제조업, 비금속광물제품제조업, 1차금속제조업, 기타 식품 제조업, 연구개발업",경북_상주시,1294589,일반,https://www.sangju.go.kr/tabBoard/view.tc?mn=4524&tabBoardSeq=96&type=S&tabOrder=1
상주한방일반산업단지,분양중,2010-03-25,65380,"한약재 재배생산업(농업), 한방상품제조업(식료품,음료,의료용물질및의약품), 한방연구개발업",경북_상주시,765915,일반,https://www.sangju.go.kr/hanbang/
서김해일반산업단지,분양중,2021-04-23,719259,"금속가공,전자부품·컴퓨터·영상·음향및통신장비,의료·정밀·광학기기및시계,전기장비,기타기계및장비,자동차및트레일러,기타운송장비 제조업,전기·가스·증기및공기조절공급업,창고및운송관련서비스업(산업4-3에 함함),연구개발업","경남_김해시, 연구개발특구진흥재단",448897,일반,http://www.gnmaeil.com/news/articleView.html?idxno=363405
서대구일반산업단지,분양완료,1978-12-31,0,"스마트자동차복합지구(기타기계및장비,자동차트레일러), 차세대기계·금속복합지구(금속가공제품,기타기계및장비), 신소재섬유복합지구(섬유제품,의복·의복액서서리및모피제품), 바이오제약·의료기기복합지구(의료용물질및의약품,전자부품·컴퓨터·영상·음향및통신장비,의료·정밀·광학기기및시계), 공통유치업종(식료품,의복·모피,가죽·신발,종이,목재·나무제품,화학,고무,비금속,금속,의료·정밀·광학기기및시계,전기장비,기타기계및장비,자동차및트레일러,기타운송장비,가구,기타 등)",서대구산업단지관리공단,2661916,일반,https://terms.naver.com/entry.naver?docId=6666692&cid=59465&categoryId=70701
서동일반산업단지,분양계획,2021-11-24,0,"자동차 및 트레일러 제조업, 태양에너지발전업(입주기업체 지붕에 한함), 부동산업(단, 부동산 임대업에 한함)",경북_경주시,269994,일반,http://www.gjfocus.co.kr/news/articleView.html?idxno=16796
서산대산일반산업단지,분양완료,2021-04-26,0,전기·가스·증기 및 공기조절업,충남_서산시,184485,일반,http://www.paxetv.com/news/articleView.html?idxno=193044
서산대산제3일반산업단지,분양완료,2019-09-03,0,"화학물질 및 화학제품 제조업(의약품 제외), 창고 및 운송관련 서비스업",충남_서산시,539957,일반,http://www.atnnews.co.kr/news/articleView.html?idxno=83450
서산대죽일반산업단지,분양완료,-,0,"코크스, 연탄 및 석유 정제품 제조업, 화학물질 및 화학제품 제조업, 전기, 가스, 증기 및 공기조절 공급업",충남_서산시,672488,일반,https://www.asiatoday.co.kr/view.php?key=20240910010006625
서산오토밸리일반산업단지,분양완료,2013-07-05,160325,"섬유, 1차금속, 금속가공제품, 전기장비, 자동차 및 트레일러 제조업, 물류업",충남_서산시,3989547,일반,https://www.eum.go.kr/web/gs/gv/gvGosiDet.jsp?seq=594605
서산인더스밸리일반산업단지,분양완료,2012-11-28,160930,"화학물질 및 화학제품;의약품 제외, 고무 및 플라스틱, 1차금속, 금속가공제품, 전자부품·영상·음향및통신장비, 전기장비, 기타기계및장비, 자동차및트레일러 제조업",충남_서산시,812034,일반,https://www.eum.go.kr/web/gs/gv/gvGosiDet.jsp?seq=595155
서산테크노밸리일반산업단지,분양완료,2014-04-07,181500,"고무 및 플라스틱, 제1차 금속, 금속가공, 비금속, 기타기계 및 장비, 전기장비, 전자부품·영상·음향 및 통신장비, 자동차 및 트레일러, 기타제품 제조업, 창고 및 운송 서비스업",충남_서산시,1985848,일반,http://www.ccnnews.co.kr/news/articleView.html?idxno=9475
서울디지털국가산업단지,분양완료,1973-11-24,3328,한국표준산업분류상전제조업(*입주제한 업종 고시문 참조),한국산업단지공단,1925327,국가,https://www.guro.go.kr/www/contents.do?key=2975&
서울마곡일반산업단지,분양중,-,3240000,"SW및컴퓨터관련서비스, 정보통신기기, 생물의학 및 생물전자산업, 생물공정 및 기기, 생물검증 및 정보서비스",서울산업진흥원,1123790,일반,https://blog.naver.com/arirang_realty/223281561489
서울온수일반산업단지,분양완료,1971-11-15,0,한국표준산업 분류상 제조업(*입주제한업종 고시문 참조),서울온수산업단지관리공단,157560,일반,https://www.bucheon.go.kr/site/homepage/menu/viewMenu?menuid=148006004015002
서울우유일반산업단지,분양완료,2020-09-01,0,식료품 제조업,경기_양주시,195760,일반,http://www.usosik.com/news/article.html?no=3551
석문국가산업단지,분양중,2015-06-29,218277,"화학물질및화학제품(의약품제외),1차금속,전자부품컴퓨터·영상·음향및통신장비,전기장비,기타기계및장비,자동차및트레일러,비금속광물제품,금속가공제품,고무및플라스틱제품 제조업, 육상운송및파이프라인운송업, 수상운송업, 창고및운송관련서비스업, 전기·가스·증기 및 공기조절공급업",한국산업단지공단,12011613,국가,http://smsandan.com/
설성일반산업단지,분양완료,2020-05-27,362998,"고무 및 플라스틱 제품 제조업, 가구 제조업, 기타 제품 제조업, 화학물질 및 화학제품 제조업, 식료품 제조업, 펄프, 종이 및 종이제품 제조업, 사업지원 서비스업",경기_이천시,48058,일반,http://www.2000news.co.kr/news/articleView.html?idxno=8799
성남일반산업단지,분양완료,1976-11-12,450000,"한국표준산업분류상 전제조업(단 도축, 원유정제, 레미콘, 합금철강제조업등 20개업종은 제외)",성남산업단지관리공단,1512886,일반,https://terms.naver.com/entry.naver?docId=6626277&cid=51726&categoryId=69857
성서5차첨단산업단지,분양완료,2012-08-10,403000,"기계·금속,전기·전자 및 정보통신 등 첨단업종",대구성서산업단지관리공단,1470290,일반,https://terms.naver.com/entry.naver?docId=6667644&cid=59462&categoryId=59538
성주월항일반산업단지,분양완료,1998-04-24,42392,"비금속광물제품, 금속가공제품, 전기장비, 기타기계 및 장비, 자동차 및 트레일러 제조업",경북_성주군,78062,일반,https://terms.naver.com/entry.naver?docId=6683392&cid=70914&categoryId=70992
성주일반산업단지,분양완료,2012-12-20,117604,"금속가공,기타기계및장비,화학물질및화학제품(금산리1248번지에 한함),전자부품·컴퓨터·영상·음향 및 통신장비,의료·정밀·광학기기 및 시계,전기장비,자동차 및 트레일러,기타운송장비,식료품,음료,섬유제품,펄프·종이,의료용물질 및 의약품,고무제품 및 플라스틱,비금속광물,가구,기타제조업",경북_성주군,851166,일반,https://terms.naver.com/entry.naver?docId=6683382&cid=70914&categoryId=70992
성주제2일반산업단지,분양완료,2018-07-23,162366,"전자부품·컴퓨터·영상·음향및통신장비,의료·정밀·광학기기및시계,전기장비,금속가공제품,기타 기계 및 장비,자동차 및 트레일러,식료품, 섬유제품,펄프·종이,고무및플라스틱 제조업",경북_성주군,957925,일반,https://blog.naver.com/hcnnewser/60213322426?rvid=D64E2AB615DCE1B54431285572F2E8ADBC70
