complex_name,status,completion_date,avg_price,industry_type,management,land_size,complex_group,website_url
경주강동일반산업단지,분양중,-,181500,"식료품, 목재 및 나무제품, 펄프, 종이 및 종이제품, 고무제품 및 플라스틱, 비금속광물제품, 1차금속, 금속가공제품, 기타기계 및 장비, 자동차 및 트레일러, 기타운송장비, 전기, 가스 증기 및 공기 조절 공급업, 폐기물 수집 운반 처리 및 원료재생업, 부동산업, 물류시설, 「산업집적활성화 및 공장설립에 관한 법률」 시행령 제21조제2항제2호가목 2)의 태양에너지 발전업(입주기업체 지붕에 한함)",경북_경주시,991631,일반,https://www.gyeongju.go.kr/news/page.do?step=258&parm_bod_uid=258879&mnu_uid=1328
경주건천용명일반산업단지,분양중,-,192659,"금속가공제품 제조업, 기타 기계 및 장비제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 입주제한업종(고시문참조)",경북_경주시,116505,일반,https://www.eum.go.kr/web/gs/gv/gvGosiDet.jsp?seq=582401
경주건천제1일반산업단지,분양완료,1996-01-11,67000,"자동차 및 트레일러, 전자부품·컴퓨터·영상·음향 및 통신장비, 전기장비, 1치금속, 펄프·종이 및 종이제품 제조업, 태양에너지발전업(입주기업체 지붕에 한함), 부동산업(단, 부동산 임대업에 한함)",경북_경주시,147261,일반,http://www.job-post.co.kr/news/articleView.html?idxno=46344
경주건천제2일반산업단지,분양완료,2012-11-16,172000,"금속가공제품,기타기계및장비,자동차및트레일러,펄프.종이및종이제품,고무및플라스틱제품,비금속광물, 제1차금속제품,가구,기타운송장비,전자부품·컴퓨터·영상·음향및통신장비,목재및나무제품,섬유제품(부직포및페트제조업만 해당) 제조업, 폐기물수집운반.처리 및 원료재생업, 태양력발전업(입주기업체 지붕에 한함), 부동산임대업",경북_경주시,989684,일반,https://terms.naver.com/entry.naver?docId=6032386&cid=43667&categoryId=43667
경주검단일반산업단지,분양계획,-,0,"식료품 제조업, 고무 및 플라스틱제품 제조업, 기타운송장비 제조업, 기타기계 및 장비 제조업, 자동차 및 트레일러 제조업, 폐기물수집·운반·처리 및 원료재생업(소분류상 383만 가능하며, 화학적으로 처리하는 업종은 제외). 창고 및 운송관련 서비스업, 태양에너지발전업(입주하는 업체의 건축물 지붕에 한함), 부동산임대업",경북_경주시,932183,일반,https://blog.naver.com/jsmirae87/223222251851
경주구어제2일반산업단지,분양중,2016-09-05,255778,"제1차금속, 금속가공제품, 기타기계및 장비, 자동차및트레일러, 기타운송장비 제조업, 지식산업관련시설(종교단체,정치단체,시민운동단체 제외), 태양에너지발전업(입주기업체 지붕에 한함), 폐기물수집·운반·처리및원료재생업(폐기물처리시설용도에 한함), 부동산업(단, 부동산임대업에 한함)",경북_경주시,829492,일반,https://blog.naver.com/signatureclean/222714246624
경주녹동일반산업단지,분양완료,-,224351,"금속가공제품제조업(C25), 기계제조업(C29), 자동차부품제조업(C30)",경북_경주시,140510,일반,https://www.gyeongju.go.kr/open_content/ko/page.do?step=258&parm_bod_uid=224434&mnu_uid=423
경주모화일반산업단지,분양완료,2014-09-22,257330,"1차금속 제조업, 금속가공제품 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 창고 및 운송관련 서비스업",경북_경주시,374018,일반,https://terms.naver.com/entry.naver?docId=6032386&cid=43667&categoryId=43667
경주문산일반산업단지,분양중,2015-04-16,262695,"금속가공제품제조업, 기타기계및장비제조업, 자동차및트레일러제조업, 기타운송장비제조업, 태양에너지발전업(입주기업체 지붕에 한함), 부동산업(단, 부동산임대업에 한함)",경북_경주시,314648,일반,http://www.ikoreanews.com/news/articleView.html?idxno=26538
경주문산제2일반산업단지,분양중,2021-12-03,254071,"고무제품 및 플라스틱제품(22), 1차금속(24), 금속가공제품(25), 전기장비(28), 기타 기계 및 장비(29), 자동차 및 트레일러(30), 기타운송 장비(25), 물류시설(육상운송 및 파이프라인 운송업,수상 운송업,항공 운송업, 창고 및 운송관련 서비스업), 태양에너지발전업(입주기업체 지붕에 한함), 부동산업(단, 부동산 임대업에 한함)",경북_경주시,836006,일반,http://www.job-post.co.kr/news/articleView.html?idxno=43341
경주석계일반산업단지,분양완료,2003-11-11,72000,"운수장비, 자동차부품, 기타업종, 조립금속, 철강, 전기제품제조업, 재생재료가공처리업 및 플라스틱 제조업, 태양력발전업(입주기업체 지붕에 한함), 부동산업(단, 부동산 임대업에 한함)",경북_경주시,145946,일반,http://www.kbsm.net/news/view.php?idx=217818
경주석계제2일반산업단지,분양완료,2011-11-15,209000,"1차금속 제조업, 금속가공제품 제조업, 타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 태양력발전업(입주기업체 지붕에 한함), 부동산업(단, 부동산 임대업에 한함)",경북_경주시,121974,일반,https://www.eum.go.kr/web/gs/gv/gvGosiDet.jsp?seq=269838
경주석계제4일반산업단지,분양완료,2018-09-06,292140,"[금속가공(C25),기타기계및장비(C29),자동차및트레일러(C30),기타운송장비(C31), 물류시설(H49, H52)] 제외한 한국표준분류 상 업종 *입주제한업종 : 고시문 참고",경북_경주시,114974,일반,https://www.gyeongju.go.kr/news/page.do?step=258&parm_bod_uid=139183&mnu_uid=1328
경주외동일반산업단지,분양완료,1994-11-18,67000,"자동차 및 트레일러, 금속가공제품, 목재 및 나무제품 제조업, 태양력발전업(입주기업체 지붕에 한함), 부동산업(단, 부동산 임대업에 한함)",경북_경주시,141644,일반,http://www.kbsm.net/news/search.php?search_order=%EC%99%B8%EB%8F%99%EC%9D%BC%EB%B0%98%EC%82%B0%EC%97%85%EB%8B%A8%EC%A7%80
경주외동제2일반산업단지,분양완료,2010-11-11,146134,"제1차금속제조업, 금속가공제품제조업, 기타기계 및 장비제조업, 자동차 및 트레일러제조업, 창고 및 운송관련서비스, 태양에너지발전업(입주기업체 지붕에 한함), 부동산업(단, 부동산임대업에 한함)",경북_경주시,602935,일반,https://www.gyeongju.go.kr/open_content/ko/page.do?step=258&parm_bod_uid=273972&mnu_uid=1334
경주제내제2일반산업단지,분양중,-,192236,한국표준분류상 제조업 및 물류시설(입주제한 업종 : 고시문 참조),경북_경주시,83938,일반,https://weseb.com/SJB/m.php?board=facto&command=body&no=238270
경주천북제2일반산업단지,분양중,-,175223,한국표준분류상 제조업 및 물류시설(입주제한 업종 : 고시문 참조),경북_경주시,104240,일반,https://www.gyeongju.go.kr/open_content/ko/page.do?step=258&parm_bod_uid=277716&mnu_uid=423
경주화산일반산업단지,분양완료,2010-07-21,60000,"목재및나무제품 제조업, 출판인쇄 및 기록매체복제업, 고무 및 플라스틱 제조업, 금속가공제품 제조업, 기타기계 및 장비 제조업, 자동차 및 트레일러 제조업, 태양에너지발전업(입주기업체 지붕에 한함), 부동산업(단, 부동산 임대업에 한함)",경북_경주시,149501,일반,https://k114.co.kr/store/detail.asp?seq=AxJuBgy5AsiN
계룡제1산업단지,분양완료,2011-03-31,257050,"전기·전자·자동차, 기계·장비, 음식료품, 고무 및 플라스틱, 물류시설",충남_계룡시,323454,일반,https://www.gyeryong.go.kr/kr/html/sub05/05030701.html
고덕국제화계획지구일반산업단지,분양완료,2016-12-02,499620,"화학물질 및 화학제품 제조업, 전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업, 의료.정밀.광학기기 및 시계제조업",경기_평택시,3905710,일반,https://www.eum.go.kr/web/gs/gv/gvGosiDet.jsp?seq=579387
고령개진일반산업단지,분양완료,1997-12-05,88000,"섬유제품, 금속가공제품, 기타기계및장비, 식료품, 펄프·종이 및 종이제품, 화학물질 및 화학제품, 전기장비, 기타제품 제조업",경북_고령군,148341,일반,https://www.goryeong.go.kr/kor/contents.do?IDX=117
고령제1일반산업단지,분양완료,1995-02-27,64000,선철주물 및 관련업종,고령1산업단지관리공단,636832,일반,https://www.idaegu.com/news/articleView.html?idxno=484442
고령제2일반산업단지,분양완료,2008-08-05,121680,"1차금속,금속가공제품,기계및장비,전자부품·컴퓨터·영상·음향및통신장비,전기장비,섬유제품,목재,화학제품,고무 및 플라스틱제품,비금속광물,자동차 및 트레일러 제조업",고령2일반산업단지관리공단,766235,일반,http://www.eum.go.kr/web/gs/gv/gvGosiDet.jsp?seq=361213
고성내산일반산업단지,분양완료,-,0,"금속가공제품제조업, 기타 운송장비 제조업, 전기·가스·증기및공기조절공급업 중 태양력발전업에 한함",경남_고성군,522618,일반,https://www.gov.kr/portal/locgovNews/3716957
고성대가룡일반산업단지,분양완료,2013-11-29,0,"기타 기계 및 장비, 기타 운송 장비, 금속가공제품, 전기장비 제조업",경남_고성군,74187,일반,https://terms.naver.com/entry.naver?docId=6032386&cid=43667&categoryId=43667
고성대독일반산업단지,분양완료,-,0,"기타 운송장비제조업, 금속가공제품제조업(기계 및 가구제외), 전기.가스.증기 및 공기조절 공급업",경남_고성군,265988,일반,https://terms.naver.com/entry.naver?docId=6032386&cid=43667&categoryId=43667
고성율대일반산업단지,분양중,2016-05-16,191351,"금속가공제품 제조업, 기타 운송 장비 제조업, 창고 및 운송관련 서비스업",경남_고성군,182110,일반,https://www.placeview.co.kr/id/MTc1MzE4ODgg
고성장좌일반산업단지,분양완료,-,0,"기타 운송장비 제조업, 전기·가스·증기 및 수도사업",경남_고성군,695469,일반,https://terms.naver.com/entry.naver?docId=6032386&cid=43667&categoryId=43667
공주유구자카드일반산업단지,분양완료,2009-12-14,69601,"식료품제조업, 섬유제품제조업(섬유제품염색, 정리 및 마무리 가공업 제외), 1차금속제조업, 전기장비제조업, 기타기계 및 장비제조업(섬유,의복 및 가죽 가공기계 제조업에 한함), 창고 및 운송관련 서비스업 *단, 농공단지의 개발 및 운영에 관한 통합지침 별표5의 폐수배출관련 업종은 불허함",충남_공주시,95911,일반,http://www.ebaekje.co.kr/news/articleView.html?idxno=8442
공주탄천일반산업단지,분양완료,2014-01-29,132624,"식료품,음료,섬유제품,화학물질및 화학제품,고무및플라스틱제품,비금속광물,전자부품·컴퓨터·영상·음향및통신장비,기타기계및장비,1차금속,금속가공,기타제품 제조업, 전기·가스·증기 및 공기조절공급업, *유치제한업종 고시문 참조",충남_공주시,996609,일반,http://www.ebaekje.co.kr/news/articleView.html?idxno=925
관리일반산업단지,분양완료,2019-12-20,0,"전자부품·컴퓨터·영상·음향 및 통신장비, 기타 기계 및 장비 제조업",경기_이천시,39959,일반,https://www.icheon.go.kr/biz/contents.do?mid=0202020100
광명일반산업단지,분양중,-,263600,"비금속광물제품 제조업, 금속가공제품 제조업, 1차금속 제조업, 창고 및 운송관련서비스업, 부동산임대업, 금속류 해체·선별 및 원료 재생업 *제한업종 외 허용 (제한업종 고시문 참조)",경북_포항시,734299,일반,https://namu.wiki/w/%EA%B4%91%EB%AA%85%EC%8B%9C%ED%9D%A5%ED%85%8C%ED%81%AC%EB%85%B8%EB%B0%B8%EB%A6%AC
광양세풍일반산업단지,분양중,-,257100,"식료품,펄프.종이제품,화학물질및화학제품,고무제품및플라스틱,비금속광물제품,1차금속제품,금속가공,전기장비,기타기계및장비,자동차및트레일러 제조업",광양만권경제자유구역청,2426756,일반,https://gwangyang.go.kr/menu.es?mid=a11206010100
광양신금일반산업단지,분양중,2012-08-13,298568,"금속가공제품, 1차금속, 기타 기계 및 장비, 의료, 정밀, 광학기기 및 시계, 전기장비, 도자기 및 기타 요업제품, 의복·의복액세사리, 목재 및 나무제품 제조업, 물류업, 지식통신산업, 자동차종합수리업",전남_광양시,397879,일반,https://www.khan.co.kr/local/Honam/article/200901201136391
광양익신일반산업단지,분양중,2016-10-13,241000,"화학물질및화학제품,비금속광물제품,1차금속,금속가공제품,전자부품·컴퓨터·영상·음향및통신장비,의료·정밀·광학기기및시계,전기장비,기타기계및장비,자동차및트레일러,기타운송장비 제조업, 산업용기계및장비수리업,소프트웨어개발및공급업,전기통신업,컴퓨터프로그래밍·시스템통합및관리업,부동산업,자연과학및공학연구개발업,회사본부경영컨설팅서비스업,기술시험·검사및분석업,그외기타분류안된전문·과학및기술서비스업,임대업,직원훈련기관,기타기술및훈련학원",전남_광양시,474003,일반,https://www.nspna.com/country/?mode=view&newsid=161127
