complex_name,food,clothing,wood,petrochemical,non_metal,metal,machinery,electronics,trans,other,non_manu
광주평동3차일반산업단지,0.25046096,0,0,0,0,0.123677139,0.460652075,0.418026571,0.191281243,0,0.356855625
광주평동일반산업단지,0.562044254,0.422463445,0.527215432,0.641970839,0.398326699,0.49483141,0.601066759,0.495138791,0.741998282,0.537833269,0.399362953
광주하남일반산업단지,0.467044348,0.488892928,0.676986609,0.657819596,0.398326699,0.563102762,0.68414883,0.569098156,0.653284224,0.518977915,0.441417744
괴산대제일반산업단지,0.369023055,0,0.137208938,0.352903271,0.441461754,0.123677139,0.272495053,0.043017132,0,0,0
괴산유기식품일반산업단지,0.439951871,0,0,0,0,0,0,0,0,0,0.124629894
괴산첨단산업단지,0.06127541,0,0,0.239339694,0,0,0,0.242782507,0,0,0
구미국가산업단지,0.67118825,0.862146019,0.841466109,0.902129928,0.886481076,0.698543394,0.782101547,0,0,0,0
국가식품클러스터국가산업단지,0.918482214,0,0.138257141,0.237541066,0,0,0,0,0,0,0.22332255
국가식품클러스터식품산업단지중소협력단지형외국인투자지역,0.06127541,0,0,0,0,0,0,0,0,0,0
군산2국가산업단지,0.474380999,0.284440112,0.593336607,0.666447072,0.751713192,0.539620604,0.61814474,0.387925138,0.740088404,0.427220227,0.405072843
군산국가산업단지,0.356671901,0.189743839,0.253271314,0.516721476,0.410670325,0.244648787,0.458604622,0.345401725,0.671291458,0.227115287,0.328663531
군산일반산업단지,0.345829601,0.054022222,0.241539106,0.37727563,0.732806668,0.217718073,0.091290997,0.043017132,0.133699851,0,0.2259432
기장기룡제1일반산업단지,0.06127541,0,0,0,0,0,0,0,0,0,0
기장기룡제2일반산업단지,0,0,0,0.050918575,0,0.053264845,0,0,0,0,0
기장명례일반산업단지,0.06127541,0.179457937,0,0,0,0.488567926,0.396711863,0.202199436,0.513732018,0,0.30034971
기장에코장안일반산업단지,0,0.253928198,0,0.118229271,0.084742433,0,0.160706336,0.099882688,0.191281243,0,0.176347979
