"id","complex_name","address","main_industry"
558764,기장에코장안일반산업단지,"부산광역시 기장군 장안읍 에코산단2로 59, 외 2필지(1152-9, 1152-10)",23321
558786,기장장안일반산업단지,부산광역시 기장군 장안읍 장안산단4로 78,26299
558868,기장정관일반산업단지,부산광역시 기장군 정관읍 산단4로 54,28421
559018,김제순동일반산업단지,"전북특별자치도 김제시 순동산단1길 70, 대화유리(주) (순동)",25111
559053,김제지평선일반산업단지,전북특별자치도 김제시 백산면 지평선산단5길 139-14,22212
559151,김천제1일반산업단지,경상북도 김천시 어모면 산업단지로 130,23999
559273,김포상마일반산업단지,경기도 김포시 월곶면 고양로117번길 180,24312
559303,김포양촌일반산업단지,경기도 김포시 양촌읍 황금1로 175,25112
560059,김포율생일반산업단지,경기도 김포시 대곶면 대명항로403번길 99 외 3필지,32029
560072,김포통진일반산업단지,경기도 김포시 통진읍 옹달샘로 73,22212
560075,김포학운2일반산업단지,경기도 김포시 양촌읍 학운산단1로 7 외 1필지,29292
560206,김포학운3일반산업단지,경기도 김포시 양촌읍 황금로291번길 69,32021
560530,김포학운4일반산업단지,경기도 김포시 양촌읍 학운리 3577 외 1필지,10122
560696,김포학운일반산업단지,경기도 김포시 양촌읍 삼도로 10-54,16103
560730,김포항공일반산업단지,"경기도 김포시 천호로 210, 김포항공일반산업단지 개조동 212호 (대곶면)",51200
560737,김해GoldenRoot일반산업단지,경상남도 김해시 주촌면 농소리 629-7,38210
560889,김해덕암일반산업단지,경상남도 김해시 주촌면 서부로1637번길 372,30399
560924,김해명동일반산업단지,경상남도 김해시 한림면 명동산단안길 16,29120
560967,김해오척일반산업단지,경상남도 김해시 진영읍 하계로240번길 209-40,24199
560991,김해이노비즈벨리일반산업단지,경상남도 김해시 주촌면 이노비즈로 36,23993
561003,김해진영주호일반산업단지,경상남도 김해시 진영읍 본산로 153-33,25924
561021,김해테크노밸리일반산업단지,경상남도 김해시 진례면 테크노밸리1로 123,31114
561420,나주문평일반산업단지,전라남도 나주시 문평면 다시로 86,25923
561426,나주신도일반산업단지,전라남도 나주시 산포면 신도산단길 31-56,25924
561446,나주일반산업단지,전라남도 나주시 동수농공단지길 62-123 (운곡동),10802
561497,나주혁신일반산업단지,전라남도 나주시 혁신산단1길 12-5 (동수동),22213
561682,남공주일반산업단지,충청남도 공주시 이인면 남공주산단길 165,20499
561701,남동국가산업단지,인천광역시 남동구,10121
569695,남양주광릉테크노밸리일반산업단지,경기도 남양주시 진접읍 팔야리 829-1번지,22299
569730,남양주금곡일반산업단지,경기도 남양주시 진접읍 경복대로바람골길 42-108,20423
569760,남양주진관일반산업단지,"경기도 남양주시 진건읍 진관산단로70번길 8 가동 1,2층",29294
569823,남여주일반산업단지,경기도 여주시 능서면 오계리 628번지,28519
569829,남원일반산업단지,전북특별자치도 남원시 사매면 월평리 1111,25119
569839,남춘천일반산업단지,강원특별자치도 춘천시 남산면 광판리 산 143-2 (남춘천일반산업단지 산업 1-3),20423
569861,논산동산일반산업단지,충청남도 논산시 은진면 동산산업단지로 101-62,17902
569900,논산일반산업단지,충청남도 논산시 성동면 산업단지로2길 30,10301
569933,논산제2일반산업단지,충청남도 논산시 성동면 산업단지로5길 81,17902
569943,단양일반산업단지,충청북도 단양군 매포읍 단양산업단지2로 102,23324
569955,달성2차일반산업단지,대구광역시 달성군 구지면 달성2차동3로 15,22223
570210,달성일반산업단지,대구광역시 달성군 논공읍 논공중앙로 367,10301
570536,담양일반산업단지,전라남도 담양군 담양읍 에코산단5로 12,10711
570669,당진송산제2일반산업단지,충청남도 당진시 송산면 가곡로 191,20121
570714,당진제1철강일반산업단지,"충청남도 당진시 송산면 북부산업로 1526, (당진1철강산업단지)",68112
570718,당진합덕인더스파크일반산업단지,충청남도 당진시 합덕읍 인더스파크로 19,29271
570729,당진합덕일반산업단지,충청남도 당진시 합덕읍 소소리 645번지 외 1필지,25923
570771,대구국가산업단지,대구광역시 달성군,22211
571048,대구염색일반산업단지,"대구광역시 서구 염색공단로21길 8, (유)대안에이엔씨 (비산동)",13403
571196,대구이시아폴리스일반산업단지,대구광역시 동구 봉무동 1565-3번지,29280
571255,대구제3일반산업단지,대구광역시 북구 노원로1길 160 (노원동3가),17901
572354,대구출판산업단지,대구광역시 달서구 장동 869-1번지,18119
572462,대구테크노폴리스일반산업단지,대구광역시 달성군 유가읍 테크노중앙대로 80,30399
572577,대불국가산업단지,전라남도 영암군,10212
572930,대불외국인투자지역,전라남도 영암군 ,20492
572965,대전 일반산업단지,"대전광역시 대덕구 대화로106번길 140, 에이동, 비동  1층(대화동)",18111
573893,대전하소친환경일반산업단지,대전광역시 동구 하소동 901-0번지 하소친환경일반산업단지 산업6-2블럭,52101
573954,동고령일반산업단지,경상북도 고령군 성산면 동고령산단로 162,25924
573981,동두천국가산업단지,경기도 동두천시 ,10122
573985,동두천상봉암일반산업단지,경기도 동두천시 평화로2862번길 35 (상봉암동),10619
573991,동두천일반산업단지,경기도 동두천시 강변로702번길 43-29 (동두천동),15110
574037,동두천제2일반산업단지,경기도 동두천시 동두천동 556-3번지,29291
574060,마산진북일반산업단지,경상남도 창원시 마산합포구 진북면 산단2길 66,25941
574116,명계3일반산업단지,경상북도 경주시 내남면 명계3산단로 90 외 1필지,30320
574136,명지녹산국가산업단지,부산광역시 강서구,24133
575565,목포대양일반산업단지,전라남도 목포시 대양동 1198-2번지,95211
575754,목포삽진일반산업단지,전라남도 목포시 삽진산단로 106(연산동),31111
575781,문경신기일반산업단지,"경상북도 문경시 유곡불정로 50, 제2호 (유곡동)",25113
575785,문경신기제2일반산업단지,경상북도 문경시 신기산단1길 115 (신기동),25119
575822,밀양나노융합국가산업단지,경상남도 밀양시 ,10730
575837,밀양사포일반산업단지,경상남도 밀양시 부북면 사포산단중앙로 57-13,30399
575887,밀양용전일반산업단지,경상남도 밀양시 삼랑진읍 용전리 992-8,24212
575918,밀양하남일반산업단지,경상남도 밀양시 하남읍 하남산단1길 113,24311
575923,반월국가산업단지,경기도 안산시 단원구 ,10121
