complex_name,latitude,longitude
부산강서신호일반산업단지,35.0869826,128.8823163
부산강서화전일반산업단지,35.1052906,128.8787943
부산과학일반산업단지,35.1482093,128.8353452
부산미음일반산업단지,35.1615799,128.8625603
부산반룡일반산업단지,35.3356309,129.2540847
부산생곡지구일반산업단지,35.1355072,128.8799591
부산성우일반산업단지,35.1419692,128.8312349
부산센텀시티일반산업단지,35.1762459,129.1254007
부산신소재일반산업단지,35.3410451,129.2684493
부산신평장림일반산업단지(기존단지),35.0871651,128.978292
부산신항배후 국제산업물류도시(1단계)일반산업단지,35.1463489,128.8621518
부산오리일반산업단지,35.3608713,129.2712124
부산정관코리일반산업단지,35.3177536,129.2077435
부산지사제2일반산업단지,35.1537694,128.816552
부산풍상일반산업단지,35.1438754,128.8478238
부안신재생에너지 일반산업단지,35.7151537,126.6028249
부천오정일반산업단지,37.5312426,126.7810345
북구검단일반산업단지,35.913051,128.6210849
뷰티풀파크,37.5882078,126.6204271
사상재생사업지구,35.1442532,128.9729007
사천제1일반산업단지,35.0644211,128.0545142
사천제2일반산업단지,35.0595985,128.0472873
사천종포일반산업단지,35.0286511,128.0411884
산청매촌일반산업단지,35.4242502,127.8562985
산청매촌제2일반산업단지,35.4254033,127.854781
상복일반산업단지,35.2050492,128.6522516
상주청리일반산업단지,36.3230818,128.1236319
상주한방일반산업단지,36.5344616,128.0356669
서김해일반산업단지,35.2129939,128.8427258
서대구일반산업단지,35.8598361,128.536645
서동일반산업단지,35.6639925,129.429387
서산대산일반산업단지,37.0062313,126.3868323
서산대산제3일반산업단지,36.9931953,126.3865452
서산대죽일반산업단지,37.0076006,126.4150494
서산오토밸리일반산업단지,36.8486188,126.45524
서산인더스밸리일반산업단지,36.8595055,126.4792186
서산테크노밸리일반산업단지,36.8306346,126.4452432
서울마곡일반산업단지,37.5624728,126.8365679
서울온수일반산업단지,37.4928747,126.8155501
서울우유일반산업단지,37.8420985,127.0375247
설성일반산업단지,37.1286323,127.4810793
성남일반산업단지,37.4386522,127.1741675
성서5차첨단산업단지,35.876436,128.4648872
성주월항일반산업단지,35.9515784,128.3283991
성주일반산업단지,35.932018,128.2869748
성주제2일반산업단지,35.9454785,128.2934408
세종명학일반산업단지,36.5426945,127.3338191
세종미래일반산업단지,36.6383852,127.1747111
세종부강일반산업단지,36.4992567,127.3644253
세종소정일반산업단지,36.7037338,127.1550348
세종월산일반산업단지,36.5271481,127.2933273
세종전의일반산업단지,36.6997064,127.2163216
세종전의제2일반산업단지,36.6988712,127.2110553
세종조치원일반산업단지,36.5518083,127.2677633
세종첨단일반산업단지,36.7208621,127.1944838
송도지식정보일반산업단지,37.3869237,126.6518622
순천일반산업단지,34.9803664,127.5069249
순천해룡일반산업단지,34.9042908,127.5660637
시흥매화일반산업단지,37.4139115,126.8203663
신갈일반산업단지,37.1960296,127.4480605
신둔일반산업단지,37.2946174,127.3976179
아산디지털일반산업단지,36.8709328,127.0389774
아산운용일반산업단지,36.9325612,127.0646401
아산인주일반산업단지,36.8755757,126.8798605
아산제2테크노밸리일반산업단지,36.8993823,127.0578677
아산탕정디스플레이시티1일반산업단지,36.8140788,127.0639904
아산테크노밸리일반산업단지,36.9133556,127.0648429
안산반월도금일반산업단지,37.2900962,126.8872493
안성가율일반산업단지,37.0691495,127.305269
안성개정일반산업단지,36.9584445,127.1993727
안성공도일반산업단지,37.0051915,127.1767496
안성금산지방산업단지,37.0740666,127.4948188
안성덕산일반산업단지,37.0786483,127.3784479
안성동항일반산업단지,37.0659057,127.1818416
안성동항제2일반산업단지,37.0626275,127.1860823
안성마정일반산업단지,37.0151783,127.1967799
안성방초일반산업단지,37.1408712,127.4356625
안성용월일반산업단지,37.076555,127.383548
안성원곡일반산업단지,37.0416411,127.1189206
안성월정일반산업단지,37.0852378,127.4577119
안성장원일반산업단지,37.0672118,127.4261989
안성장원제2일반산업단지,37.0672378,127.4268857
안성제1일반산업단지,37.0491265,127.1919648
안성제2일반산업단지,36.9792107,127.2556176
안성제3일반산업단지,36.9758635,127.2666986
안성제4일반산업단지,36.9589961,127.2479616
안성지문일반산업단지,37.0459929,127.1406475
양산덕계일반산업단지,35.3602374,129.1704864
양산산막일반산업단지,35.370153,129.0675736
양산서창일반산업단지,35.427574,129.157584
양산석계2일반산업단지,35.4104618,129.070245
양산어곡일반산업단지,35.3823929,129.019847
양산용당일반산업단지,35.4349178,129.1932444
양산유산일반산업단지,35.3628092,129.0258634
양산일반산업단지,35.3588804,129.0300266
양주검준일반산업단지,37.8661308,126.9960994
양주구암일반산업단지,37.8897881,126.9734455
양주남면일반산업단지,37.8821782,126.9716893
양주도하일반산업단지,37.8430916,127.0097974
양주상수일반산업단지,37.8755501,126.9757026
양주홍죽일반산업단지,37.8000607,126.963885
에스폼산업단지,36.9608542,127.4226725
여수오천일반산업단지,34.7916323,127.7538904
여수율촌제1일반산업단지,34.8995732,127.5871836
여주강천일반산업단지,37.2830514,127.7057476
여주삼교일반산업단지,37.2271774,127.6525639
여주장안일반산업단지,37.2077691,127.6984371
연천백학일반산업단지,38.01756,126.9146217
연천백학통구일반산업단지,38.0196818,126.9228098
연천장남일반산업단지,37.9891118,126.8791602
영광대마일반산업단지,35.2839632,126.5771292
영동일반산업단지,36.2898575,127.8147309
영암삼호일반산업단지,34.7471074,126.364597
영주SK스페셜티일반산업단지,36.82783,128.5903682
영주가흥일반산업단지,36.8259283,128.5920697
영주갈산일반산업단지,36.7859005,128.5704521
영주두전일반산업단지,36.787202,128.5790222
영주일반산업단지,36.8537121,128.5249667
영천일반산업단지,35.9109345,128.9492184
예산신소재일반산업단지,36.801456,126.7003451
예산예당일반산업단지,36.7689442,126.7259487
예산일반산업단지,36.6694219,126.7465031
오산가장2일반산업단지,37.1637999,127.0297442
오산가장지방산업단지,37.1598876,127.0395238
오산세마일반산업단지,37.181268,127.0336934
옥천청산일반산업단지,36.3296919,127.7944924
옥천테크노밸리일반산업단지,36.276936,127.5896331
완장일반산업단지,37.1630095,127.1804402
완주일반산업단지,35.9513264,127.1405099
완주테크노밸리일반산업단지,35.973136,127.1134081
왜관일반산업단지,35.965662,128.4212408
왜관제3일반산업단지,35.9261288,128.4222597
용인농서일반산업단지,37.2214216,127.0815578
용인원삼일반산업단지,37.154024,127.3002068
용인제일일반산업단지,37.2335928,127.3028255
용인테크노밸리일반산업단지,37.1723435,127.2125196
용인통삼일반산업단지,37.1387406,127.1301971
용인패키징디자인일반산업단지,37.2580133,127.1962798
울산길천일반산업단지,35.5975923,129.0755418
울산매곡일반산업단지,35.6479303,129.3649062
울산매곡제2일반산업단지,35.6521686,129.3637151
울산매곡제3일반산업단지,35.6386024,129.3673824
울산모듈화일반산업단지,35.5806612,129.3746115
울산반천일반산업단지,35.5656819,129.1541925
울산봉계일반산업단지,35.7086649,129.2075014
울산신일반산업단지,35.4658175,129.3349636
울산와지일반산업단지,35.4385688,129.1594484
울산전읍일반산업단지,35.6676863,129.1712969
울산중산2차일반산업단지,35.6550973,129.3547425
울산중산일반산업단지,35.6517759,129.3576706
울산테크노일반산업단지,35.5121037,129.2984768
웅천일반산업단지,36.2398395,126.5758281
원주동화일반산업단지,37.3352711,127.8451446
원주문막반계일반산업단지,37.2968982,127.7955922
원주문막지방산업단지,37.29378,127.8069971
원주우산일반산업단지,37.3763785,127.9391495
원주자동차부품일반산업단지,37.330827,127.8273363
음성금왕일반산업단지,36.9833625,127.5798249
음성금왕테크노밸리일반산업단지,36.9610709,127.5683732
음성대풍일반산업단지,36.9733426,127.4651417
음성리노삼봉일반산업단지,36.945342,127.559463
음성맹동일반산업단지,36.924207,127.5652774
음성생극일반산업단지,37.040505,127.6173116
음성성본일반산업단지,36.9595809,127.5400213
음성오선일반산업단지,36.9733911,127.5669507
음성용산일반산업단지,36.9390433,127.673255
음성원남일반산업단지,36.8853758,127.6777041
음성유촌일반산업단지,36.9512112,127.5638255
음성이테크일반산업단지,37.1197424,127.696689
음성중부일반산업단지,36.973112,127.5062419
음성하이텍일반산업단지,37.0130639,127.4678782
의정부용현일반산업단지,37.7451959,127.08319
이당일반산업단지,34.9780091,128.2913502
이천대월일반산업단지,37.2161373,127.4907986
이천도암일반산업단지,37.323043,127.4394365
이천모가일반산업단지,37.1840767,127.4538337
이천장호원일반산업단지,37.1193573,127.6098163
이화일반산업단지,35.6720203,129.3512372
익산제2일반산업단지,35.9581205,127.0109251
익산제3일반산업단지,36.0364794,126.9976546
익산제4일반산업단지,36.0336159,126.9604018
인천기계일반산업단지,37.4786129,126.6731083
인천서부일반산업단지,37.5525981,126.6401066
인천서운일반산업단지,37.5360421,126.7589737
인천일반산업단지,37.4875902,126.6737589
인천청라1지구일반산업단지,37.5325034,126.6060173
장흥바이오식품일반산업단지,34.6901363,126.9354871
전주과학산업연구단지,35.9518297,127.1220565
전주시자원순환특화일반산업단지,35.8085574,127.0684602
전주제1일반산업단지,35.8557161,127.102681
전주제2일반산업단지,35.8535162,127.0867722
전주친환경첨단복합일반산업단지(3-1단계),35.8663237,127.0920967
정읍제1일반산업단지,35.6108457,126.8450799
정읍제2일반산업단지,35.5928735,126.869677
